Name,Price,Date,Time
Bitcoin,42598.5,15-01-2024,23:14:58
Bitcoin,42624.9,15-01-2024,23:18:04
Bitcoin,42624.9,15-01-2024,23:19:13
Bitcoin,42656.6,15-01-2024,23:20:34
Bitcoin,42656.6,15-01-2024,23:22:53
Bitcoin,42656.6,15-01-2024,23:24:40
Bitcoin,42736.1,15-01-2024,23:25:57
Bitcoin,42664.2,18-01-2024,07:55:24
Bitcoin,42664.2,18-01-2024,07:56:49
Bitcoin,42649.1,18-01-2024,08:04:53
Bitcoin,42649.1,18-01-2024,08:05:09
Bitcoin,42643,18-01-2024,08:05:47
Bitcoin,42643,18-01-2024,08:06:07
Bitcoin,42643,18-01-2024,08:06:37
Bitcoin,42643,18-01-2024,08:07:24
Bitcoin,42643,18-01-2024,08:08:55
Bitcoin,42643,18-01-2024,08:09:21
Bitcoin,42643,18-01-2024,08:10:05
Bitcoin,41301.6,19-01-2024,14:27:48
Bitcoin,41301.6,19-01-2024,14:28:51
Bitcoin,41301.6,19-01-2024,14:29:52
Bitcoin,41231,19-01-2024,14:30:55
Bitcoin,41231,19-01-2024,14:35:02
Bitcoin,41305.3,19-01-2024,14:36:02
Bitcoin,41305.3,19-01-2024,14:37:02
Bitcoin,41305.3,19-01-2024,14:38:03
Bitcoin,41305.3,19-01-2024,14:39:02
Bitcoin,41305.3,19-01-2024,14:40:02
Bitcoin,41282.6,19-01-2024,14:59:01
Bitcoin,41282.6,19-01-2024,15:00:00
Bitcoin,41259.5,19-01-2024,15:01:00
Bitcoin,41259.5,19-01-2024,15:02:00
Bitcoin,41259.5,19-01-2024,15:03:00
Bitcoin,41259.5,19-01-2024,15:04:00
Bitcoin,41259.5,19-01-2024,15:05:00
Bitcoin,41216,19-01-2024,15:06:00
Bitcoin,41216,19-01-2024,15:06:59
Bitcoin,41216,19-01-2024,15:07:59
Bitcoin,41216,19-01-2024,15:09:00
Bitcoin,41216,19-01-2024,15:10:00
Bitcoin,41212.9,19-01-2024,15:11:00
Bitcoin,41212.9,19-01-2024,15:11:59
Bitcoin,41212.9,19-01-2024,15:13:00
Bitcoin,41212.9,19-01-2024,15:14:00
Bitcoin,41212.9,19-01-2024,15:15:00
Bitcoin,41271.5,19-01-2024,15:15:59
Bitcoin,41271.5,19-01-2024,15:17:00
Bitcoin,41271.5,19-01-2024,15:17:59
Bitcoin,41271.5,19-01-2024,15:18:59
Bitcoin,41271.5,19-01-2024,15:20:00
Bitcoin,41306.6,19-01-2024,15:21:00
Bitcoin,41306.6,19-01-2024,15:22:01
Bitcoin,41306.6,19-01-2024,15:22:59
Bitcoin,41306.6,19-01-2024,15:23:59
Bitcoin,41306.6,19-01-2024,15:25:00
Bitcoin,41327.6,19-01-2024,15:26:00
Bitcoin,41327.6,19-01-2024,15:27:00
Bitcoin,41327.6,19-01-2024,15:28:00
Bitcoin,41327.6,19-01-2024,15:28:59
Bitcoin,41327.6,19-01-2024,15:30:00
Bitcoin,41341.4,19-01-2024,15:31:00
Bitcoin,41341.4,19-01-2024,15:31:59
Bitcoin,41341.4,19-01-2024,15:32:59
Bitcoin,41341.4,19-01-2024,15:34:00
Bitcoin,41341.4,19-01-2024,15:35:00
Bitcoin,41354.4,19-01-2024,15:35:59
Bitcoin,41354.4,19-01-2024,15:37:00
Bitcoin,41354.4,19-01-2024,15:38:01
Bitcoin,41354.4,19-01-2024,15:39:00
Bitcoin,41354.4,19-01-2024,15:40:00
Bitcoin,41372.9,19-01-2024,15:41:00
Bitcoin,41372.9,19-01-2024,15:42:00
Bitcoin,41372.9,19-01-2024,15:43:00
Bitcoin,41372.9,19-01-2024,15:43:59
Bitcoin,41372.9,19-01-2024,15:44:59
Bitcoin,41389.6,19-01-2024,15:45:59
Bitcoin,41389.6,19-01-2024,15:47:00
Bitcoin,41389.6,19-01-2024,15:48:00
Bitcoin,41389.6,19-01-2024,15:48:59
Bitcoin,41389.6,19-01-2024,15:50:00
Bitcoin,41405.4,19-01-2024,15:51:00
Bitcoin,41405.4,19-01-2024,15:51:59
Bitcoin,41405.4,19-01-2024,15:52:59
Bitcoin,41405.4,19-01-2024,15:54:00
Bitcoin,41405.4,19-01-2024,15:55:00
Bitcoin,41357.5,19-01-2024,15:56:00
Bitcoin,41357.5,19-01-2024,15:57:00
Bitcoin,41357.5,19-01-2024,15:57:59
Bitcoin,41357.5,19-01-2024,15:59:00
Bitcoin,41357.5,19-01-2024,16:00:00
Bitcoin,41368.8,19-01-2024,16:01:00
Bitcoin,41368.8,19-01-2024,16:02:00
Bitcoin,41368.8,19-01-2024,16:03:00
Bitcoin,41368.8,19-01-2024,16:03:59
Bitcoin,41368.8,19-01-2024,16:05:00
Bitcoin,41324.9,19-01-2024,16:06:00
Bitcoin,41324.9,19-01-2024,16:07:01
Bitcoin,41324.9,19-01-2024,16:08:00
Bitcoin,41324.9,19-01-2024,16:09:00
Bitcoin,41324.9,19-01-2024,16:10:01
Bitcoin,41323.3,19-01-2024,16:11:00
Bitcoin,41323.3,19-01-2024,16:12:00
Bitcoin,41323.3,19-01-2024,16:12:59
Bitcoin,41323.3,19-01-2024,16:14:00
Bitcoin,41323.3,19-01-2024,16:15:00
Bitcoin,41311.1,19-01-2024,16:16:00
Bitcoin,41311.1,19-01-2024,16:17:00
Bitcoin,41311.1,19-01-2024,16:18:00
Bitcoin,41311.1,19-01-2024,16:19:01
Bitcoin,41311.1,19-01-2024,16:20:00
Bitcoin,41338.1,19-01-2024,16:21:01
Bitcoin,41338.1,19-01-2024,16:22:00
Bitcoin,41338.1,19-01-2024,16:23:00
Bitcoin,41338.1,19-01-2024,16:24:01
Bitcoin,41338.1,19-01-2024,16:25:00
Bitcoin,41387.5,19-01-2024,16:26:00
Bitcoin,41387.5,19-01-2024,16:26:59
Bitcoin,41387.5,19-01-2024,16:28:00
Bitcoin,41387.5,19-01-2024,16:29:00
Bitcoin,41387.5,19-01-2024,16:30:00
Bitcoin,41439.8,19-01-2024,16:31:01
Bitcoin,41439.8,19-01-2024,16:31:59
Bitcoin,41439.8,19-01-2024,16:33:00
Bitcoin,41439.8,19-01-2024,16:33:59
Bitcoin,41439.8,19-01-2024,16:34:59
Bitcoin,41406.6,19-01-2024,16:36:00
Bitcoin,41406.6,19-01-2024,16:37:00
Bitcoin,41406.6,19-01-2024,16:38:01
Bitcoin,41406.6,19-01-2024,16:39:01
Bitcoin,41406.6,19-01-2024,16:40:00
Bitcoin,41437.2,19-01-2024,16:41:01
Bitcoin,41437.2,19-01-2024,16:42:00
Bitcoin,41437.2,19-01-2024,16:43:00
Bitcoin,41437.2,19-01-2024,16:44:01
Bitcoin,41437.2,19-01-2024,16:45:02
Bitcoin,41384.7,19-01-2024,16:46:01
Bitcoin,41384.7,19-01-2024,16:46:59
Bitcoin,41384.7,19-01-2024,16:47:59
Bitcoin,41384.7,19-01-2024,16:49:01
Bitcoin,41384.7,19-01-2024,16:50:00
Bitcoin,41394.9,19-01-2024,16:51:01
Bitcoin,41394.9,19-01-2024,16:52:00
